[2025-11-04 03:12:53] ===== Скрипт запущен =====
[2025-11-06 17:00:19] ===== Скрипт запущен =====
[2025-11-06 17:03:32] ===== Скрипт запущен =====
[2025-11-06 14:05:30] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:32] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:33] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:35] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:36] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:38] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:39] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:41] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:42] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:44] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:45] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:47] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:48] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:50] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:51] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:53] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:54] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
